# ref-prefix | manual url
Shure UA844+SWB/LC|
Shure Beta 52A|https://www.shure.com/en-US/docs/guide/BETA52A
Shure Beta 57A|https://www.shure.com/en-US/docs/guide/BETA57A
Shure Beta 58A|https://www.shure.com/en-US/docs/guide/BETA58A
Shure Beta 91A|https://www.shure.com/en-US/docs/guide/BETA91A
Shure KSM137|https://www.shure.com/en-US/docs/guide/KSM137
Shure KSM32|https://www.shure.com/en-US/docs/guide/KSM32
Shure MVX2U|https://www.shure.com/en-US/docs/guide/MVX2U
Shure MX418|https://www.shure.com/en-US/docs/guide/MX400
Shure QLXD|https://www.shure.com/en-US/docs/guide/QLXD
Shure SLXD|https://www.shure.com/en-US/docs/guide/SLXD
Shure SM35|https://www.shure.com/en-US/docs/guide/SM35
Shure SM57|https://www.shure.com/en-US/docs/guide/SM57
Shure SM58|https://www.shure.com/en-US/docs/guide/SM58
Shure SM81|https://www.shure.com/en-US/docs/guide/SM81
Shure Super 55|https://www.shure.com/en-US/docs/guide/Super-55
Shure ULXD|https://www.shure.com/en-US/docs/guide/ULXD
Shure SM31FH|https://www.shure.com/en-US/docs/guide/SM31FH
Shure MX153|https://www.shure.com/en-US/docs/guide/MX153
Shure PA805SWB|https://www.shure.com/en-US/docs/guide/PA805SWB
Shure UL4|https://www.shure.com/en-US/docs/guide/UL4
Shure A56D|https://www.shure.com/en-US/docs/guide/A56D
JBL SRX9|https://www.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dwdbc78cbc/pdfs/JBL_SRX900_Series_User_Manual-1000365021A-EN.pdf
JBL PRX715|https://jblpro.com/en-US/site_elements/prx700-users-guide
JBL PRX615M|https://www.manualslib.com/products/Jbl-Prx615m-3170705.html
JBL VRX932|https://www.manualslib.com/manual/708265/Jbl-Vrx932la-1.html
QSC K10.2|https://www.qscaudio.com/resource-files/productresources/spk/k.2/q_spk_k2_usermanual.pdf
QSC K12.2|https://www.qscaudio.com/resource-files/productresources/spk/k.2/q_spk_k2_usermanual.pdf
QSC KS118|https://www.qscaudio.com/resource-files/productresources/spk/ks/q_spk_ks_usermanual.pdf
QSC KW181|https://www.qscaudio.com/resource-files/productresources/spk/kw/q_spk_kw_usermanual.pdf
QSC PL340|https://www.qscaudio.com/resource-files/productresources/amp/pl3/q_amp_pl3_usermanual.pdf
Sennheiser e835|https://assets.sennheiser.com/global-downloads/file/11699/e835_Manual_01_2019_EN.pdf
Sennheiser e 835|https://assets.sennheiser.com/global-downloads/file/11699/e835_Manual_01_2019_EN.pdf
Sennheiser e604|https://www.sennheiser.com/globalassets/digizuite/40608-en-e604_manual_03_2024_en.pdf
Sennheiser e 604|https://www.sennheiser.com/globalassets/digizuite/40608-en-e604_manual_03_2024_en.pdf
Sennheiser e904|https://docs.cloud.sennheiser.com/en-us/evolution-wired/evolution-wired/manual-e904.html
Sennheiser e 904|https://docs.cloud.sennheiser.com/en-us/evolution-wired/evolution-wired/manual-e904.html
Sennheiser e609|https://assets.sennheiser.com/global-downloads/file/11672/e609_Manual_01_2019_EN.pdf
